"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
19344;"Mais vous êtes fous";"Drame";"France";101540;TRUE;FALSE
19073;"Maléfique : Le Pouvoir du Mal";"Fantasy";"Etats-Unis";2637086;FALSE;FALSE
19528;"Manou à l'école des goélands";"Animation";"Allemagne";89747;FALSE;FALSE
18833;"Marie Stuart, Reine d'Ecosse";"Drame";"Etats-Unis";208561;FALSE;FALSE
19668;"Martin Eden";"Drame";"Italie";120268;TRUE;FALSE
19632;"Matthias & Maxime";"Drame";"Canada";180439;TRUE;FALSE
18818;"Men in Black: International";"Fantasy";"Etats-Unis";967040;TRUE;FALSE
19512;"Midsommar";"Horreur";"Etats-Unis";121390;TRUE;FALSE
19505;"Midway (2019)";"Guerre";"Etats-Unis";420596;TRUE;TRUE
18739;"Minuscule: Les Mandibules du Bout du Monde";"Animation 3D";"France";756332;TRUE;FALSE
18931;"Mon Bébé";"Comédie dramatique";"France";602812;TRUE;FALSE
19637;"Mon chien Stupide";"Comédie";"France";501205;TRUE;FALSE
19560;"Mon frère";"Drame";"France";100271;TRUE;FALSE
19172;"Mon inconnue";"Comédie";"France";559126;TRUE;FALSE
18974;"Monsieur Link";"Animation 3D";"Etats-Unis";100738;FALSE;FALSE
19567;"Music of my life";"Comédie dramatique";"Royaume-Uni";60628;FALSE;FALSE
18660;"My Beautiful Boy";"Drame";"Etats-Unis";71372;FALSE;FALSE
19017;"Nevada";"Drame";"France";174181;TRUE;FALSE
19399;"Never Grow Old";"Western";"Irlande";21877;TRUE;FALSE
19201;"Ni une, ni deux";"Comédie";"France";78591;TRUE;FALSE
18331;"Nicky Larson et le parfum de Cupidon";"Aventure - Action";"France";1684404;TRUE;FALSE
19948;"Notre dame";"Comédie dramatique";"France";221483;TRUE;FALSE
19133;"Noureev";"Drame";"Royaume-Uni";172012;FALSE;FALSE
18875;"Nous finirons ensemble";"Comédie dramatique";"France";2792885;TRUE;FALSE
18224;"Once Upon a Time in Hollywood";"Thriller";"Etats-Unis";2633185;TRUE;FALSE
19744;"Papicha";"Drame";"France";259141;TRUE;FALSE
19001;"Paradise Beach";"Thriller";"France";36366;TRUE;FALSE
19435;"Parasite (2019)";"Comédie dramatique";"Corée du Sud";1724417;FALSE;TRUE
19462;"Passion (2019)";"Drame";"Japon";28161;FALSE;TRUE
