"identifiant";"titre";"titre_original";"reprise";"genre";"pays";"entrees";"rang"
19671;"The Lighthouse";NA;FALSE;"Thriller";"Etats-Unis";71809;255
19457;"The Mountain : une odyssée américaine";"The Mountain";FALSE;"Drame";"Etats-Unis";1540;383
19502;"The Operative";NA;FALSE;"Thriller";"Allemagne";161947;177
17615;"The Place";NA;FALSE;"Comédie dramatique";"Italie";4726;370
19355;"Tolkien";NA;FALSE;"Drame";"Etats-Unis";121725;198
18995;"Total Dhamaal";NA;FALSE;"Comédie";"Inde";1576;382
18973;"Tout ce qu'il me reste de la révolution";NA;FALSE;"Comédie";"France";99487;227
19470;"Tout est possible";"Biggest Little Farm";FALSE;"Documentaire";"Etats-Unis";44716;295
19781;"Toute ressemblance...";NA;FALSE;"Comédie dramatique";"France";108155;212
15289;"Toy Story 4";NA;FALSE;"Animation 3D";"Etats-Unis";4454443;7
19596;"Trois jours et une vie";NA;FALSE;"Drame";"France";99517;226
19678;"Tu mérites un amour";NA;FALSE;"Comédie dramatique";"France";58924;278
19318;"UglyDolls";"Uglydolls";FALSE;"Animation 3D";"Etats-Unis";57179;280
18822;"Un beau voyou";NA;FALSE;"Comédie";"France";57956;279
18893;"Un Grand voyage vers la nuit";"Di qiu zui hou de ye wan ";FALSE;"Drame";"Chine";20684;347
19468;"Un jour de pluie à New York";"A Rainy Day in New York";FALSE;"Comédie dramatique";"Etats-Unis";585166;86
19636;"Un monde plus grand";NA;FALSE;"Drame";"France";297909;130
19750;"Un petit air de famille";NA;FALSE;"Animation";"France";50049;290
19224;"Un Tramway à Jérusalem";"A Tramway in Jerusalem";FALSE;"Comédie dramatique";"Israël";23420;344
17572;"Undercover - Une histoire vraie";"White Boy Rick";FALSE;"Thriller";"Etats-Unis";83379;246
18721;"Une femme d'exception";"On the Basis of Sex";FALSE;"Drame";"Etats-Unis";91175;235
19593;"Une fille facile";NA;FALSE;"Comédie dramatique";"France";83583;245
19569;"Une Grande fille";"Dylda ";FALSE;"Drame";"Russie";79049;252
18928;"Une intime conviction";NA;FALSE;"Drame";"France";402470;106
18814;"Une jeunesse dorée";NA;FALSE;"Drame";"France";10452;361
19480;"Une part d'ombre";"Une part d'ombre ";FALSE;"Thriller";"Belgique";25112;340
19742;"Une vie cachée";"A Hidden Life";FALSE;"Drame";"Etats-Unis";202799;159
18839;"Us";NA;FALSE;"Thriller";"Etats-Unis";702985;75
19018;"Venise n'est pas en Italie";NA;FALSE;"Comédie";"France";515227;93
19947;"Vic le Viking";"Wickie und die starken Männer - Das magische Schwert ";FALSE;"Animation 3D";"Allemagne";267500;137
18747;"Vice";NA;FALSE;"Drame";"Etats-Unis";319085;126
19315;"Victor et Célia";NA;FALSE;"Comédie";"France";100312;224
19553;"Vita & Virginia";NA;FALSE;"Drame";"Royaume-Uni";63833;267
19469;"Vous êtes jeunes, vous êtes beaux";NA;FALSE;"Drame";"France";4986;369
19089;"Walter";NA;FALSE;"Comédie";"France";375010;112
19713;"War (2019)";NA;FALSE;"Aventure - Action";"Inde";3914;373
19515;"Wedding Nightmare";"Ready or Not";FALSE;"Horreur";"Etats-Unis";473134;99
19552;"Wild Rose";NA;FALSE;"Musical";"Royaume-Uni";92783;234
19555;"Wonderland, le royaume sans pluie";"Birthday Wonderland";FALSE;"Animation";"Japon";81316;248
17531;"X-Men: Dark Phoenix";NA;FALSE;"Comicbook";"Etats-Unis";1403901;37
18819;"YAO";NA;FALSE;"Comédie dramatique";"France";408689;105
19438;"Yesterday";NA;FALSE;"Comédie";"Royaume-Uni";678617;79
19082;"Yuli";NA;FALSE;"Comédie dramatique";"Espagne";131650;190
19506;"Yves";NA;FALSE;"Comédie";"France";60154;276
19836;"Zébulon, le dragon";NA;FALSE;"Animation";"Royaume-Uni";103247;216
20085;"Zibilla ou la vie zébrée";NA;FALSE;"Animation";"France";27161;331
19489;"Zombi Child";NA;FALSE;"Drame";"France";28911;324
