"identifiant";"titre";"titre_original";"reprise";"genre";"pays";"entrees";"rang"
17542;"Glass";NA;FALSE;"Thriller";"Etats-Unis";1290067;39
19003;"Gloria Bell";NA;FALSE;"Drame";"Etats-Unis";121758;197
19780;"Gloria Mundi";NA;FALSE;"Drame";"France";327750;123
18319;"Godzilla II Roi des Monstres";"Godzilla: King of the Monsters";FALSE;"Science Fiction";"Etats-Unis";667899;80
19020;"Golden Glove";"Der goldene Handschuh ";FALSE;"Thriller";"Allemagne";7384;365
19568;"Good Boys";NA;FALSE;"Comédie";"Etats-Unis";123548;193
19993;"Good Newwz";NA;FALSE;"Comédie";"Inde";1671;381
18874;"Grâce à Dieu";NA;FALSE;"Drame";"France";915327;58
18367;"Green Book : Sur les routes du sud";"Green Book";FALSE;"Comédie dramatique";"Etats-Unis";2055324;21
18964;"Greta";NA;FALSE;"Thriller";"Etats-Unis";137278;187
18993;"Gully Boy";NA;FALSE;"Drame";"Inde";1423;384
18838;"Happy Birthdead 2 You";"Happy Death Day 2U";FALSE;"Horreur";"Etats-Unis";270392;136
18697;"Hellboy (2019)";NA;FALSE;"Comicbook";"Etats-Unis";232008;146
18858;"Holy Lands";NA;FALSE;"Drame";"France";29734;320
18864;"Hors normes";NA;FALSE;"Comédie";"France";2090138;20
19764;"Housefull 4";NA;FALSE;"Comédie";"Inde";2573;377
19200;"Ibiza";NA;FALSE;"Comédie";"France";629425;82
19599;"Inséparables (2019)";NA;FALSE;"Comédie";"France";1037582;49
19729;"Interview avec Dieu";"An Interview with God";FALSE;"Drame";"Etats-Unis";28117;327
19824;"It Must Be Heaven";NA;FALSE;"Comédie dramatique";"France";198319;163
18775;"J'accuse";NA;FALSE;"Drame";"France";1523522;33
19804;"J'ai perdu mon corps";NA;FALSE;"Animation";"France";157198;178
19601;"J'irai où tu iras";NA;FALSE;"Comédie";"France";448396;101
19174;"J'veux du soleil";NA;FALSE;"Documentaire";"France";185795;168
19587;"Je promets d'être sage";NA;FALSE;"Comédie dramatique";"France";93613;233
19564;"Jean Vanier, le sacrement de la tendresse";NA;FALSE;"Documentaire";"France";50073;289
19595;"Jeanne";NA;FALSE;"Drame";"France";40698;300
18107;"John Wick Parabellum";"John Wick: Chapter 3 - Parabellum";FALSE;"Aventure - Action";"Etats-Unis";841535;63
18661;"Joker";NA;FALSE;"Comicbook";"Etats-Unis";5590731;6
19581;"Joyeuse retraite !";NA;FALSE;"Comédie";"France";1250322;40
18258;"Jumanji: next level";"Jumanji: The Next Level";FALSE;"Aventure - Action";"Etats-Unis";3072647;11
